season,team
2023-24,NC State
2023-24,North Carolina
2023-24,Notre Dame
2023-24,Pittsburgh
2023-24,Syracuse
2023-24,Virginia
2023-24,Virginia Tech
2023-24,Wake Forest
2024-25,Boston College
2024-25,California
2024-25,Clemson
2024-25,Duke
2024-25,Florida State
2024-25,Georgia Tech
2024-25,Louisville
2024-25,Miami
2024-25,NC State
2024-25,North Carolina
2024-25,Notre Dame
2024-25,Pittsburgh
2024-25,SMU
2024-25,Stanford
2024-25,Syracuse
2024-25,Virginia
2024-25,Virginia Tech
2024-25,Wake Forest
2025-26,Boston College
2025-26,California
2025-26,Clemson
2025-26,Duke
2025-26,Florida State
2025-26,Georgia Tech
2025-26,Louisville
2025-26,Miami
2025-26,NC State
2025-26,North Carolina
2025-26,Notre Dame
2025-26,Pittsburgh
2025-26,SMU
2025-26,Stanford
2025-26,Syracuse
2025-26,Virginia
2025-26,Virginia Tech
2025-26,Wake Forest
