season,game_number,date,start_time,opponent,tournament,venue,result,unc_score,opponent_score,attendance
2000-01,30,Mar 10(Sat),1:30 PM,Georgia Tech,ACC Tournament,McCamish Pavilion,"W, 70-63",70,63,
2000-01,31,Mar 11(Sun),1:00 PM,Duke,ACC Tournament,McCamish Pavilion,"L, 53-79",53,79,40083.0
2000-01,32,Mar 16(Fri),10:00 PM,Princeton,NCAA Tournament,Smoothie King Center,"W, 70-48",70,48,
2000-01,33,Mar 18(Sun),5:00 PM,Penn State,NCAA Tournament,Smoothie King Center,"L, 74-82",74,82,
2001-02,1,Nov 16(Fri),7:30 PM,Hampton,,Dean E. Smith Center,"L, 69-77",69,77,17320.0
2001-02,2,Nov 20(Tue),7:00 PM,Davidson,,Dean E. Smith Center,"L, 54-58",54,58,14705.0
2001-02,3,Nov 28(Wed),9:00 PM,Indiana,,Dean E. Smith Center,"L, 66-79",66,79,18358.0
2001-02,4,Dec 2(Sun),6:00 PM,Georgia Tech,,Dean E. Smith Center,"W, 83-77",83,77,17492.0
2001-02,5,Dec 8(Sat),4:00 PM,Kentucky,,Rupp Arena,"L, 59-79",59,79,23153.0
2001-02,6,Dec 16(Sun),1:00 PM,Binghamton,,Dean E. Smith Center,"W, 61-60",61,60,12132.0
2001-02,7,Dec 21(Fri),9:15 PM,College of Charleston,,Charlotte Coliseum,"L, 60-66",60,66,9713.0
2001-02,8,Dec 22(Sat),7:00 PM,Saint Joseph's,,Charlotte Coliseum,"W, 92-76",92,76,5115.0
2001-02,9,Dec 27(Thu),7:30 PM,North Carolina A&T,,Dean E. Smith Center,"W, 104-66",104,66,
2001-02,10,Dec 30(Sun),8:00 PM,Texas A&M,,Dean E. Smith Center,"W, 96-62",96,62,15676.0
2001-02,11,Jan 5(Sat),4:00 PM,Wake Forest,,Dean E. Smith Center,"L, 62-84",62,84,21293.0
2001-02,12,Jan 9(Wed),7:30 PM,Maryland,,Cole Field House,"L, 79-112",79,112,14500.0
2001-02,13,Jan 12(Sat),12:00 PM,Virginia,,Dean E. Smith Center,"L, 67-71",67,71,20079.0
2001-02,14,Jan 16(Wed),7:00 PM,Florida State,,Donald L. Tucker Civic Center,"L, 71-81",71,81,7523.0
2001-02,15,Jan 19(Sat),4:00 PM,Connecticut,,Gampel Pavilion,"L, 54-86",54,86,10027.0
2001-02,16,Jan 23(Wed),9:00 PM,NC State,,Dean E. Smith Center,"L, 59-77",59,77,21750.0
2001-02,17,Jan 27(Sun),6:00 PM,Clemson,,Littlejohn Coliseum,"W, 87-69",87,69,10000.0
2001-02,18,Jan 31(Thu),9:00 PM,Duke,,Dean E. Smith Center,"L, 58-87",58,87,
2001-02,19,Feb 2(Sat),1:00 PM,Georgia Tech,,McCamish Pavilion,"L, 74-86",74,86,6550.0
2001-02,20,Feb 6(Wed),9:00 PM,Wake Forest,,Lawrence Joel Veterans Memorial Coliseum,"L, 66-90",66,90,13523.0
2001-02,21,Feb 10(Sun),6:30 PM,Maryland,,Dean E. Smith Center,"L, 77-92",77,92,18751.0
2001-02,22,Feb 12(Tue),8:00 PM,Virginia,,University Hall,"L, 63-73",63,73,7331.0
2001-02,23,Feb 17(Sun),3:00 PM,Florida State,,Dean E. Smith Center,"W, 95-85",95,85,17055.0
2001-02,24,Feb 20(Wed),7:30 PM,Ohio,,Dean E. Smith Center,"L, 78-86",78,86,13252.0
2001-02,25,Feb 24(Sun),6:30 PM,NC State,,Lenovo Center,"L, 76-98",76,98,19722.0
2001-02,26,Feb 27(Wed),9:00 PM,Clemson,,Dean E. Smith Center,"W, 96-78",96,78,16125.0
2001-02,27,Mar 3(Sun),3:30 PM,Duke,,Cameron Indoor Stadium,"L, 68-93",68,93,9314.0
2001-02,28,Mar 8(Fri),7:00 PM,Duke,ACC Tournament,Charlotte Coliseum,"L, 48-60",48,60,23895.0
2002-03,1,Nov 18(Mon),7:00 PM,Penn State,Preseason NIT,Dean E. Smith Center,"W, 85-55",85,55,16282.0
2002-03,2,Nov 20(Wed),7:00 PM,Rutgers,Preseason NIT,Dean E. Smith Center,"W, 71-67",71,67,14656.0
2002-03,3,Nov 24(Sun),1:00 PM,Old Dominion,,Ted Constant Convocation Center,"W, 67-59",67,59,
2002-03,4,Nov 27(Wed),9:00 PM,Kansas,Preseason NIT,Madison Square Garden,"W, 67-56",67,56,10758.0
2002-03,5,Nov 29(Fri),9:00 PM,Stanford,Preseason NIT,Madison Square Garden,"W, 74-57",74,57,11718.0
2002-03,6,Dec 3(Tue),9:30 PM,Illinois,ACC/Big Ten Challenge,State Farm Center,"L, 65-92",65,92,16500.0
2002-03,7,Dec 7(Sat),2:00 PM,Kentucky,,Dean E. Smith Center,"L, 81-98",81,98,21750.0
2002-03,8,Dec 19(Thu),7:00 PM,Vermont,,Dean E. Smith Center,"W, 80-54",80,54,16258.0
2002-03,9,Dec 22(Sun),8:00 PM,Florida State,,Donald L. Tucker Civic Center,"W, 69-48",69,48,
2002-03,10,Dec 27(Fri),6:30 PM,Iona,ECAC Holiday Festival,Madison Square Garden,"L, 56-65",56,65,11000.0
2002-03,11,Dec 28(Sat),3:00 PM,St. John's,ECAC Holiday Festival,Madison Square Garden,"W, 63-59",63,59,11000.0
2002-03,12,Jan 4(Sat),7:00 PM,Miami,,Miami Arena,"L, 61-64",61,64,6826.0
2002-03,13,Jan 8(Wed),8:00 PM,Davidson,,Dean E. Smith Center,"W, 79-64",79,64,18555.0
2002-03,14,Jan 11(Sat),12:00 PM,Virginia,,University Hall,"L, 72-79",72,79,8392.0
2002-03,15,Jan 14(Tue),7:00 PM,Clemson,,Dean E. Smith Center,"W, 68-66",68,66,17451.0
2002-03,16,Jan 18(Sat),5:00 PM,Connecticut,,Dean E. Smith Center,"W, 68-65",68,65,21750.0
2002-03,17,Jan 22(Wed),7:00 PM,Maryland,,Dean E. Smith Center,"L, 66-81",66,81,21750.0
2002-03,18,Jan 26(Sun),2:00 PM,NC State,,Lenovo Center,"L, 77-86",77,86,19722.0
2002-03,19,Jan 29(Wed),7:00 PM,Georgia Tech,,McCamish Pavilion,"L, 68-88",68,88,
2002-03,20,Feb 2(Sun),5:30 PM,Wake Forest,,Dean E. Smith Center,"L, 75-79",75,79,21750.0
2002-03,21,Feb 5(Wed),9:00 PM,Duke,,Cameron Indoor Stadium,"L, 74-83",74,83,9314.0
2002-03,22,Feb 8(Sat),1:00 PM,Florida State,,Dean E. Smith Center,"W, 61-60",61,60,21750.0
2002-03,23,Feb 12(Wed),7:00 PM,Virginia,,Dean E. Smith Center,"W, 81-67",81,67,20445.0
