season,game_number,date,start_time,opponent,tournament,venue,promotion,result,ncstate_score,opponent_score,attendance
2000,28,Mar 29(Wed),7:00 PM,UNC Wilmington,,Brooks Field,,"W, 12-0",12,0,365
2000,29,Mar 31(Fri),7:00 PM,Georgia Tech,,Doak Field,,"L, 1-13",1,13,833
2000,30,Apr 1(Sat),7:00 PM,Georgia Tech,,Doak Field,,"L, 6-11",6,11,709
2000,31,Apr 2(Sun),7:00 PM,Georgia Tech,,Doak Field,,"L, 3-4",3,4,542
2000,32,Apr 4(Tue),7:00 PM,Charleston Southern,,Doak Field,,"W, 7-6",7,6,64
2000,33,Apr 5(Wed),7:00 PM,Charleston Southern,,Doak Field,,"W, 6-2",6,2,116
2000,34,Apr 7(Fri),7:15 PM,Clemson,,Doug Kingsmore Stadium,,"W, 5-1",5,1,3532
2000,35,Apr 8(Sat),7:00 PM,Clemson,,Doug Kingsmore Stadium,,"L, 0-9",0,9,1543
2000,36,Apr 9(Sun),2:00 PM,Clemson,,Doug Kingsmore Stadium,,"L, 4-8",4,8,2258
2000,37,Apr 11(Tue),7:00 PM,High Point,,Doak Field,,"W, 12-3",12,3,235
2000,38,Apr 12(Wed),7:00 PM,Old Dominion,,Doak Field,,"L, 8-9",8,9,164
2000,39,Apr 15(Sat),7:00 PM,Duke,,Doak Field,,"W, 12-7",12,7,131
2000,40,Apr 15(Sat),7:00 PM,Duke,,Doak Field,,"W, 8-4",8,4,138
2000,41,Apr 16(Sun),7:00 PM,Duke,,Doak Field,,"L, 5-8",5,8,683
2000,42,Apr 18(Tue),7:00 PM,UNC Greensboro,,Doak Field,,"W, 8-7",8,7,133
2000,43,Apr 19(Wed),7:00 PM,Old Dominion,,Bud Metheny Baseball Complex,,"L, 2-12",2,12,219
2000,44,Apr 21(Fri),7:00 PM,Miami,,Durham Bulls Athletic Park,,"L, 0-12",0,12,1502
2000,45,Apr 22(Sat),1:00 PM,Miami,,Doak Field,,"L, 1-19",1,19,1628
2000,46,Apr 23(Sun),1:00 PM,Miami,,Doak Field,,"W, 5-4",5,4,1442
2000,47,Apr 25(Tue),6:59 PM,Coastal Carolina,,Doak Field,,"L, 3-4",3,4,77
2000,48,Apr 26(Wed),7:00 PM,UNC Wilmington,,Doak Field,,"W, 10-2",10,2,544
2000,49,Apr 28(Fri),7:00 PM,Florida State,,Dick Howser Stadium,,"W, 5-4",5,4,2035
2000,50,Apr 29(Sat),7:00 PM,Florida State,,Dick Howser Stadium,,"L, 2-8",2,8,2918
2000,51,Apr 30(Sun),1:00 PM,Florida State,,Dick Howser Stadium,,"L, 5-6",5,6,2409
2000,52,May 5(Fri),7:00 PM,Maryland,,Shipley Field,,"L, 0-3",0,3,133
2000,53,May 6(Sat),1:00 PM,Maryland,,Shipley Field,,"W, 5-4",5,4,156
2000,54,May 7(Sun),1:00 PM,Maryland,,Shipley Field,,"L, 3-13",3,13,151
2000,55,May 12(Fri),7:00 PM,Liberty,,Doak Field,,"W, 11-3",11,3,226
2000,56,May 13(Sat),7:00 PM,Liberty,,Doak Field,,"W, 6-5",6,5,682
2000,57,May 17(Wed),7:00 PM,Florida State,ACC Tournament,Knights Stadium,,"L, 6-8",6,8,4087
2000,58,May 18(Thu),7:00 PM,Virginia,ACC Tournament,Knights Stadium,,"L, 5-9",5,9,1378
2001,1,Feb 9(Fri),7:00 PM,Cincinnati,,Doak Field,,"W, 4-3",4,3,1424
2001,2,Feb 10(Sat),7:00 PM,Cincinnati,,Doak Field,,"L, 9-11",9,11,1238
2001,3,Feb 11(Sun),7:00 PM,Cincinnati,,Doak Field,,"L, 6-12",6,12,541
2001,4,Feb 16(Fri),7:00 PM,West Virginia,,Riley Park,,"W, 2-1",2,1,285
2001,5,Feb 17(Sat),7:00 PM,The Citadel,,Riley Park,,"W, 13-4",13,4,1588
2001,6,Feb 18(Sun),7:00 PM,George Mason,,Riley Park,,"L, 4-9",4,9,504
2001,7,Feb 23(Fri),7:00 PM,Rutgers,,Doak Field,,"L, 2-4",2,4,463
2001,8,Feb 24(Sat),7:00 PM,Rutgers,,Doak Field,,"L, 2-8",2,8,851
2001,9,Feb 25(Sun),7:00 PM,Rutgers,,Doak Field,,"L, 7-8",7,8,114
2001,10,Feb 28(Wed),7:00 PM,Elon,,Doak Field,,"L, 3-9",3,9,232
2001,11,Mar 2(Fri),3:00 PM,Richmond,,Doak Field,,"W, 7-4",7,4,357
2001,12,Mar 2(Fri),3:00 PM,Richmond,,Doak Field,,"W, 10-3",10,3,72
2001,13,Mar 5(Mon),7:00 PM,Ball State,,Doak Field,,"W, 4-3",4,3,106
2001,14,Mar 6(Tue),7:00 PM,Ball State,,Doak Field,,"W, 11-4",11,4,57
2001,15,Mar 9(Fri),7:00 PM,Georgia Tech,,Mac Nease Park,,"W, 9-7",9,7,502
2001,16,Mar 10(Sat),7:00 PM,Georgia Tech,,Mac Nease Park,,"L, 1-5",1,5,1073
2001,17,Mar 11(Sun),7:00 PM,Georgia Tech,,Mac Nease Park,,"W, 16-8",16,8,1565
2001,18,Mar 13(Tue),7:00 PM,Winthrop,,Knights Stadium,,"L, 3-5",3,5,53
2001,19,Mar 14(Wed),7:00 PM,Campbell,,Jim Perry Stadium,,"W, 10-1",10,1,622
2001,20,Mar 16(Fri),7:00 PM,Florida State,,Doak Field,,"L, 7-8",7,8,631
2001,21,Mar 17(Sat),1:00 PM,Florida State,,Doak Field,,"W, 4-2",4,2,1232
2001,22,Mar 18(Sun),1:30 PM,Florida State,,Doak Field,,"L, 3-12",3,12,1637
2001,23,Mar 23(Fri),3:00 PM,Virginia,,Disharoon Park,,"L, 7-8",7,8,178
2001,24,Mar 24(Sat),2:00 PM,Virginia,,Disharoon Park,,"L, 2-10",2,10,303
2001,25,Mar 25(Sun),1:00 PM,Virginia,,Disharoon Park,,"W, 10-3",10,3,288
2001,26,Mar 28(Wed),7:00 PM,Campbell,,Doak Field,,"W, 5-4",5,4,259
2001,27,Mar 30(Fri),7:00 PM,North Carolina,,Doak Field,,"W, 16-9",16,9,2507
2001,28,Apr 2(Mon),7:00 PM,North Carolina,,Doak Field,,"L, 7-16",7,16,227
2001,29,Apr 2(Mon),1:30 PM,North Carolina,,Doak Field,,"L, 7-8",7,8,156
2001,30,Apr 3(Tue),7:00 PM,UNC Wilmington,,Doak Field,,"W, 4-3",4,3,186
2001,31,Apr 4(Wed),7:03 PM,Charlotte,,Doak Field,,"W, 6-2",6,2,163
2001,32,Apr 6(Fri),7:00 PM,UNC Greensboro,,Doak Field,,"W, 4-2",4,2,446
2001,33,Apr 7(Sat),7:02 PM,UNC Greensboro,,UNCG Baseball Complex,,"W, 11-6",11,6,689
2001,34,Apr 7(Sat),7:00 PM,High Point,,Williard Stadium,,"L, 6-9",6,9,219
2001,35,Apr 10(Tue),7:00 PM,Virginia Commonwealth,,The Diamond,,"W, 7-4",7,4,150
2001,36,Apr 11(Wed),7:00 PM,Old Dominion,,Bud Metheny Baseball Complex,,"L, 1-7",1,7,233
2001,37,Apr 13(Fri),7:00 PM,Maryland,,Doak Field,,"W, 5-1",5,1,636
2001,38,Apr 14(Sat),7:00 PM,Maryland,,Doak Field,,"L, 5-7",5,7,1072
2001,39,Apr 15(Sun),1:30 PM,Maryland,,Doak Field,,"W, 15-7",15,7,538
2001,40,Apr 17(Tue),7:00 PM,UNC Wilmington,,Brooks Field,,"W, 4-3",4,3,236
2001,41,Apr 18(Wed),7:00 PM,Old Dominion,,Doak Field,,"W, 9-1",9,1,77
2001,42,Apr 20(Fri),3:00 PM,Wake Forest,,Ernie Shore Field,,"L, 7-8",7,8,726
2001,43,Apr 21(Sat),1:30 PM,Wake Forest,,Ernie Shore Field,,"L, 7-11",7,11,1008
2001,44,Apr 22(Sun),1:30 PM,Wake Forest,,Gene Hooks Field,,"L, 2-12",2,12,831
2001,45,Apr 24(Tue),7:00 PM,Davidson,,Doak Field,,"W, 10-2",10,2,212
2001,46,Apr 25(Wed),7:04 PM,East Carolina,,Doak Field,,"L, 4-6",4,6,1879
2001,47,Apr 27(Fri),7:00 PM,Duke,,Jack Coombs Field,,"W, 9-5",9,5,312
2001,48,Apr 28(Sat),7:00 PM,Duke,,Jack Coombs Field,,"L, 10-11",10,11,
2001,49,Apr 29(Sun),7:00 PM,Duke,,Jack Coombs Field,,"L, 6-10",6,10,525
