ncaa_name,bd_name,school_id
Quinnipiac,Quinnipiac,562
Radford,Radford,563
Rhode Island,Rhode Island,572
Rice,Rice,574
Richmond,Richmond,575
Rider,Rider,576
Rutgers,Rutgers,587
Sacramento St.,Sacramento State,102
Sacred Heart,Sacred Heart,590
Sam Houston St.,Sam Houston State,624
Samford,Samford,625
San Diego,San Diego,627
San Diego St.,San Diego State,626
San Francisco,San Francisco,629
San Jose St.,San Jose State,630
Santa Clara,Santa Clara,631
Savannah St.,Savannah State,632
Seattle U,Seattle,1356
Seton Hall,Seton Hall,635
Siena,Siena,639
South Alabama,South Alabama,646
South Carolina,South Carolina,648
USC Upstate,South Carolina-Upstate,10411
South Dakota St.,South Dakota State,649
South Fla.,South Florida,651
Southeast Mo. St.,Southeast Missouri State,654
Southeastern La.,Southeastern Louisiana,655
Southern U.,Southern,665
Southern California,Southern California,657
Southern Ill.,Southern Illinois,659
SIUE,Southern Illinois-Edwardsville,660
Southern Miss.,Southern Mississippi,664
Saint Mary's (CA),St Mary's,610
St. Bonaventure,St. Bonaventure,596
St. John's (NY),St. John's,603
Saint Joseph's,St. Joseph's,606
Saint Louis,St. Louis,609
Saint Peter's,St. Peter's,617
Stanford,Stanford,674
SFA,Stephen F. Austin State,676
Stetson,Stetson,678
Stony Brook,Stony Brook,683
Tarleton St.,Tarleton State,1395
Temple,Temple,690
Tennessee,Tennessee,694
Tennessee Tech,Tennessee Tech,692
UT Martin,Tennessee-Martin,695
Texas,Texas,703
Texas A&M,Texas A&M,697
A&M-Corpus Christi,Texas A&M-Corpus Christi,26172
TCU,Texas Christian,698
Texas Southern,Texas Southern,699
Texas St.,Texas State,670
Texas Tech,Texas Tech,700
UT Arlington,Texas-Arlington,702
UTRGV,Texas-Rio Grande Valley,536
UTSA,Texas-San Antonio,706
The Citadel,The Citadel,141
Toledo,Toledo,709
Towson,Towson,711
Troy,Troy,716
Tulane,Tulane,718
UC Davis,UC Davis,108
UC Irvine,UC Irvine,109
UC Riverside,UC Riverside,111
UC Santa Barbara,UC Santa Barbara,104
UCLA,UCLA,110
Utah,Utah,732
Utah Valley,Utah Valley,30024
VMI,VMI,741
Valparaiso,Valparaiso,735
Vanderbilt,Vanderbilt,736
Villanova,Villanova,739
Virginia,Virginia,746
VCU,Virginia Commonwealth,740
Virginia Tech,Virginia Tech,742
Wagner,Wagner,748
Wake Forest,Wake Forest,749
Washington,Washington,756
Washington St.,Washington State,754
West Virginia,West Virginia,768
Western Caro.,Western Carolina,769
Western Ill.,Western Illinois,771
Western Ky.,Western Kentucky,772
Western Mich.,Western Michigan,774
Wichita St.,Wichita State,782
William & Mary,William and Mary,786
Winthrop,Winthrop,792
Milwaukee,Wisconsin-Milwaukee,797
Wofford,Wofford,2915
Wright St.,Wright State,810
Xavier,Xavier,812
Yale,Yale,813
Youngstown St.,Youngstown State,817
Bellarmine,,52
UC San Diego,,112
Purdue Fort Wayne,,308
Merrimack,,410
Louisiana,,671
Colorado Mesa,,11416
Spring Hill,,30191
Central Mo.,,130
Angelo St.,,25
Francis Marion,,1085
Albany St. (SIAC),,13
Drury,,1057
Chico St.,,95
Concord,,1028
Savannah St.,,632
Ill. Springfield,,30050
MSU Denver,,413
William Jewell,,30120
Newberry,,1257
West Tex. A&M,,767
Lubbock Christian,,30177
North Greenville,,9223
Augustana (NSIC),,41
Northeastern St.,,12810
Charleston (MEC),,1013
Minnesota St.,,383
Slippery Rock,,643
Molloy,,437
CSU Pueblo,,2720
Millersville,,423
Regis (RMAC),,568
Okla. Baptist,,30202
Pittsburg St.,,1314
Colo. Christian,,11403
Adelphi,,3
Columbus St.,,159
UC-Colo. Springs,,9754
Ashland,,35
Lenoir-Rhyne,,1170
Miles,,422
Trevecca Nazarene,,30002
Colo. Sch. of Mines,,155
Quincy,,561
Young Harris,,30154
UNC Pembroke,,537
Alabama Huntsville,,10
Southern Ark.,,1376
Montevallo,,1238
Wingate,,1462
Maryville (GLVC),,395
N.M. Highlands,,8577
Point Loma,,30149
St. Edward's,,1334
Mo. Southern St.,,9012
Tex. A&M-Kingsville,,696
Florida Tech,,230
Georgia College,,1096
Southern N.H.,,468
Cal Poly Pomona,,91
Queens (SAC),,11504
Barton,,15646
Erskine,,1072
Chestnut Hill,,21323
Indiana (PSAC),,307
Pace,,533
Tiffin,,1403
St. Cloud St.,,598
Tampa,,689
Rockhurst,,1328
Northwestern Okla.,,30178
Nova Southeastern,,24639
Delta St.,,181
Jefferson,,543
Saint Leo,,608
Davenport,,30221
Washburn,,2814
Notre Dame (MEC),,30126
Cedarville,,30124
Purdue Northwest,,30222
Southeastern Okla.,,1371
UT Tyler,,30028
Saginaw Valley,,591
Cal U (PSAC),,106
Carson-Newman,,1000
AUM,,30093
Mount Olive,,1245
Central Wash.,,1010
Hillsdale,,280
Wilmington (CACC),,1460
Cal St. Monterey Bay,,30055
West Ga.,,766
Northwood,,510
Missouri S&T,,435
Franklin Pierce,,241
McKendree,,30138
Grand Valley St.,,262
Glenville St.,,1098
Cal St. San Marcos,,30198
Rollins,,584
Adams St.,,929
Wayne St. (GLIAC),,757
Azusa Pacific,,30146
East Stroudsburg,,197
Queens (ECC),,560
Belmont Abbey,,2683
Wheeling,,12799
West Virginia St.,,1439
Tex. A&M Int'l,,30090
Lee,,30013
Kentucky St.,,332
Arkansas Tech,,947
Minot St.,,30125
Southern Nazarene,,30152
Southwest Minn. St.,,8736
Cal St. San B'dino,,93
Union (Gulf South),,30153
Anderson (SAC),,13028
Southwestern Okla.,,8744
Seton Hill,,30063
Cal State LA,,100
St. Mary's (Lone Star),,1346
Fresno Pacific,,30147
Cal St. Dom. Hills,,92
Lewis,,354
Henderson St.,,1123
Bloomsburg,,65
West Chester,,765
West Ala.,,358
Bloomfield,,984
Ouachita Baptist,,1289
Shorter,,30151
Minn. Duluth,,427
King (Conference Carolinas),,30051
Central Okla.,,1009
Hawaii Pacific,,2696
Le Moyne,,349
Mercyhurst,,408
Newman,,30054
Southern Conn. St.,,658
St. Thomas Aquinas,,1348
Walsh,,30141
Rogers St.,,30180
Augusta,,39
Goldey-Beacom,,8366
Benedict,,55
Hawaii Hilo,,2697
Lynn,,20794
Lock Haven,,360
UIndy,,309
Eckerd,,208
Valdosta St.,,734
Lincoln Memorial,,1176
Mansfield,,384
Salem (DII Independent),,19117
Sioux Falls,,30128
Saint Rose,,1347
Shippensburg,,638
Lane,,347
Malone,,30137
Barry,,49
Post,,1318
Caldwell,,995
New Haven,,470
American Int'l,,22
Emory & Henry,,216
Flagler,,30092
Harding,,1116
Tex. Permian Basin,,30088
Lander,,1167
Bluefield St.,,985
Ark.-Monticello,,8411
Fairmont St.,,1076
Mercy,,407
Claflin,,30058
North Georgia,,30052
Stonehill,,682
Fla. Southern,,233
Eastern N.M.,,206
Morehouse,,445
Cal St. East Bay,,98
Northwest Nazarene,,1274
Southern Wesleyan,,30192
Okla. Christian,,30179
Sonoma St.,,645
Southern Ind.,,661
Mont. St. Billings,,205
Ky. Wesleyan,,333
Chowan,,8875
Assumption,,36
Bentley,,56
Lindenwood,,30136
Tusculum,,12830
Mo.-St. Louis,,436
Cameron,,996
St. Anselm,,593
Ark.-Fort Smith,,30105
Ga. Southwestern,,1097
Gannon,,246
West Florida,,11740
Christian Brothers,,1015
Wayne St. (NSIC),,1433
Mars Hill,,1199
Dominican (CACC),,8956
UVA Wise,,30181
Felician,,23157
USciences,,28594
Mary,,30075
Southwest Baptist,,2755
Emporia St.,,1071
Truman St.,,499
CUI,,30199
Biola,,30220
Holy Names,,30175
Pitt.-Johnstown,,546
Northwest Mo. St.,,507
Missouri Western,,9013
Ohio Dominican,,30119
Shepherd,,10870
Embry-Riddle (Sunshine State),,9680
East Central,,8965
Catawba,,1001
USC Aiken,,11276
West Va. Wesleyan,,9630
Upper Iowa,,728
Mississippi Col.,,429
Saint Martin's,,1343
Findlay,,1079
Virginia St.,,743
San Fran. St.,,628
Stanislaus St.,,103
Coker,,1023
Academy of Art,,30123
Bridgeport,,74
Concordia-St. Paul,,9081
Western Ore.,,1446
Winona St.,,790
Emmanuel (Conference Carolinas),,30193
Saint Michael's,,613
LeMoyne-Owen,,350
Palm Beach Atl.,,30045
West Liberty,,1438
Minn.-Crookston,,27854
Clark Atlanta,,144
Alderson Broaddus,,934
Northern St.,,1266
Bemidji St.,,54
Limestone,,1174
Kutztown,,339
Tuskegee,,720
Fort Hays St.,,9011
Lincoln (ECC),,357
Lake Erie,,2746
Clarion,,143
Nyack,,1277
Wis.-Parkside,,799
Davis & Elkins,,174
Marietta,,385
St. Joseph's (Skyline),,1340
Wilson,,12973
Baldwin Wallace,,46
Penn St.-Abington,,30114
Randolph-Macon,,565
Montclair St.,,442
Rhode Island Col.,,571
Middlebury,,420
LaGrange,,1162
Eastern Conn. St.,,200
Aurora,,42
Kalamazoo,,326
Widener,,783
Gust. Adolphus,,266
La Verne,,341
Bethel (MIAC),,60
Anna Maria,,26
Birmingham-So.,,28593
Berry,,973
Crown (UMAC),,30035
North Central (CCIW),,492
Wilmington (OAC),,1461
McDaniel,,773
Otterbein,,531
Allegheny,,19
Wm. Paterson,,787
Earlham,,195
Pomona-Pitzer,,549
Fontbonne,,11538
Redlands,,567
Denison,,182
Chapman,,134
CMSV,,451
Webster,,759
SUNY Cortland,,168
Texas-Dallas,,23121
Centenary (SCAC),,125
Methodist,,412
Trinity (SCAC),,715
DePauw,,177
Lawrence,,348
Rowan,,259
Huntingdon,,1130
Ill. Wesleyan,,300
Tufts,,717
Adrian,,4
